snapshot,CCGT,Denmark gas supply,Germany external gas supply,Norway gas supply,OCGT,Offshore wind,Onshore wind,Solar,battery storage,pumped hydro
2015-01-01 00:00:00,32524.608738898904,0.0,0.0,0.0,0.0,92322.41326192347,50912.59227310437,0.0,0.0,0.0
2015-01-01 01:00:00,25669.920081573186,0.0,0.0,0.0,0.0,91398.82253084275,49238.09727993614,0.0,0.0,7000.0
2015-01-01 02:00:00,28419.43530064327,0.0,0.0,0.0,0.0,94747.65864093511,54019.54050496865,0.0,0.0,-5981.161169856234
2015-01-01 03:00:00,21679.70001076618,0.0,0.0,0.0,0.0,99679.45772170233,49121.84620680761,0.0,0.0,0.0
2015-01-01 04:00:00,9954.758224631274,0.0,0.0,0.0,0.0,102762.15673910703,57048.45833762914,0.0,0.0,317.73178651432136
2015-01-01 05:00:00,6288.055786085679,0.0,0.0,0.0,0.0,104957.52754033598,62680.96157635124,0.0,0.0,-4494.046457843598
2015-01-01 06:00:00,7540.3168650808,0.0,0.0,0.0,0.0,108645.22635238507,54106.64333925246,0.0,0.0,0.0
2015-01-01 07:00:00,7239.702030993211,0.0,0.0,0.0,0.0,107233.03598073134,62313.96970595619,775.5890018743809,165.25346598913933,-6362.1761152762965
2015-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,106244.23725174733,56047.04177834409,11633.835028115713,0.0,0.0
2015-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,80799.76084551089,71207.00367923407,28859.46382910404,0.0,-3836.876456628448
2015-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,59821.18817153387,73705.88188838362,43696.25569001063,0.0,0.0
2015-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,63250.947615953504,85566.67323405703,48214.25014996855,0.0,-21020.975521656153
2015-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,110444.74878864945,74041.5446878161,43531.3166428874,-40146.7123849672,-14222.307647261749
2015-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,59854.06734180022,80854.80549335126,30683.5770530687,0.0,0.0
2015-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,100123.15879411489,68231.90156685363,13572.807532801666,0.0,-7000.0
2015-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,115056.75756969016,31765.527877584493,0.0,36612.69033424846,0.0
2015-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,116320.21982884259,71942.50713589892,0.0,1550.7744589013528,0.0
2015-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,117358.5611788544,73873.95829054338,0.0,0.0,-1028.343731263536
2015-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,117335.80058373035,72538.55847693444,0.0,0.0,-1308.0006858735069
2015-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,118512.866171281,68342.63178969167,0.0,0.0,-1871.8239166864223
2015-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,115981.5285681897,67551.53420773179,0.0,0.0,-728.2367030591085
2015-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,113290.8571523834,69475.42639190114,0.0,0.0,-1534.4828390383118
2015-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,111069.25966330065,68987.24325896605,0.0,0.0,-3142.4585281914374
2015-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,110201.52155534152,73360.23438379563,0.0,0.0,-10608.989259686432
2015-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,111036.52158692473,58932.12525974952,0.0,0.0,0.0
2015-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,115049.16001950725,57080.275255076034,0.0,0.0,-3585.162278136966
2015-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,115207.31353078403,56513.65483441428,0.0,0.0,-4020.1690741165603
2015-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,109611.75181110066,66380.19750124747,0.0,0.0,-7434.840302126115
2015-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,120579.71240185371,54029.91684812892,0.0,0.0,-3725.02880814908
2015-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,119472.21481991185,55681.98563709493,0.0,0.0,0.0
2015-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,117947.12725964701,72723.65951555496,0.0,0.0,-11821.25815141123
2015-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,82141.44100008384,125733.69565373356,1357.2807532801664,0.0,-25931.108861086515
2015-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,63983.92211959852,113791.79107904783,8243.019713020672,0.0,-2300.284217795215
2015-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,48719.21789927619,122234.97546056182,12105.29414950446,0.0,0.0
2015-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,39320.19957243283,121758.03604835186,21047.047649721295,0.0,0.0
2015-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,31586.270004872567,121065.99817537382,27645.036986268882,0.0,0.0
2015-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,34090.22813153114,112468.86240341418,30919.993072914553,0.0,0.0
2015-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,30273.831608199558,116661.20701862368,28027.702590808025,0.0,0.0
2015-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,57559.403236230355,103187.2724710113,15917.398743624613,0.0,0.0
2015-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,117707.63461435356,72393.38058924288,0.0,0.0,-7000.0
2015-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,118051.16009736664,81160.66994991136,0.0,0.0,-9170.674132557806
2015-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,118105.20424627766,73538.5269595875,0.0,0.0,0.0
2015-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,118451.33433305712,71505.56572537628,0.0,0.0,0.0
2015-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,118014.16121340438,66210.1581116131,0.0,0.0,0.0
2015-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,117789.18999127395,64720.72096209788,0.0,0.0,-412.55593860571753
2015-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,116248.20433687905,64732.97717049794,0.0,0.0,0.0
2015-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,109693.50517385748,67498.19767828942,0.0,0.0,0.0
2015-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,115660.72987853394,90137.60131559438,0.0,0.0,-31662.686252977266
